,Headlines,BodyID
0,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",0
1,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",1
2,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",2
3,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",3
4,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",4
5,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",5
6,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",6
7,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",7
8,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",8
9,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",9
10,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",10
11,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",11
12,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",12
13,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",13
14,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",14
15,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",15
16,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",16
17,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",17
18,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",18
19,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",19
20,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",20
21,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",21
22,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",22
23,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",23
24,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",24
25,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",25
26,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",26
27,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",27
28,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",28
29,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",29
30,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",30
31,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",31
32,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",32
33,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",33
34,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",34
35,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",35
36,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",36
37,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",37
38,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",38
39,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",39
40,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",40
41,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",41
42,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",42
43,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",43
44,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",44
45,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",45
46,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",46
47,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",47
48,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",48
49,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",49
50,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",50
51,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",51
52,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",52
53,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",53
54,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",54
55,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",55
56,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",56
57,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",57
58,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",58
59,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",59
60,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",60
61,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",61
62,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",62
63,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",63
64,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",64
65,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",65
66,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",66
67,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",67
68,"b""India BJP's election videos targeting Muslims and opposition spark outrage""",68
