,id,source,url
0,0,b'Yahoo News',b'https://sg.news.yahoo.com/uk-election-campaign-enters-final-020021068.html'
1,1,b'Yahoo News',b'https://sg.news.yahoo.com/nepals-maoist-pm-loses-parliamentary-120710610.html'
2,2,b'Reuters',b'https://www.reuters.com/world/india/indias-modi-wins-test-strength-parliament-with-election-speaker-2024-06-26/'
3,3,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/neet-ug-row-nta-conducts-all-tests-through-private-companies-says-jairam-ramesh/videoshow/111379477.cms'
4,4,b'Economic Times',b'https://economictimes.indiatimes.com/news/economy/policy/budget-2024-fm-sitharaman-unveils-nps-vatsalya-scheme-now-parents-can-invest-for-their-child/videoshow/111952555.cms'
5,5,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/1984-anti-sikh-riots-delhi-court-reserves-order-on-framing-of-charge-in-riots-case-against-jagdish-tytler/articleshow/111857493.cms'
6,6,b'Economic Times',b'https://economictimes.indiatimes.com/tech/technology/karnataka-releases-draft-gig-workers-bill-seeks-comments-from-platforms-other-stakeholders/articleshow/111380394.cms'
7,7,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/congress-to-gherao-chattissgarh-vidhan-sabha-over-law-and-order-sachin-pilot/articleshow/111979849.cms'
8,8,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/assam-removal-of-gandhi-statue-for-clock-tower-construction-sparks-row/articleshow/111693901.cms'
9,9,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/hope-for-impartiality-say-tmc-dmk-on-birla-being-elected-ls-speaker/articleshow/111278921.cms'
10,10,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/haryana/congress-may-not-project-cm-face-for-haryana-polls-party-in-charge-for-state/articleshow/111382272.cms'
11,11,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/narendra-modi-busy-saving-his-govt-rahul-gandhi-flags-10-issues-in-first-15-days-of-nda/articleshow/111229494.cms'
12,12,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/reservation-row-congresss-jairam-ramesh-questions-jdus-silence-on-caste-census-and-reservation/videoshow/111384495.cms'
13,13,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/sharad-pawar-leader-of-corruption-says-amit-shah-takes-aurangzeb-fan-club-jibe-at-uddhav/articleshow/111904442.cms'
14,14,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/anant-ambani-weds-radhika-at-star-studded-event/articleshow/111696711.cms'
15,15,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/rajya-sabha-opposition-members-attack-govt-over-paper-leaks-demand-cancellation-of-neet-exam/articleshow/111436770.cms'
16,16,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/will-he-apologise-bjp-mp-ravi-shankar-prasad-slams-rahul-gandhi-for-calling-examination-system-fraud/articleshow/111979680.cms'
17,17,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/decision-to-implement-new-criminal-laws-taken-in-haste-congress-leader-adhir-ranjan-chowdhury/articleshow/111385801.cms'
18,18,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/couple-in-illicit-relationship-assaulted-in-bengal-video-goes-viral/articleshow/111385940.cms'
19,19,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/west-bengal-governor-cv-ananda-bose-warns-of-states-financial-breakdown/articleshow/111386098.cms'
20,20,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/congress-priyanka-gandhi-expresses-grief-over-loss-of-lives-in-assams-flood-situation-appeals-party-for-assistance/articleshow/111552978.cms'
21,21,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/narendra-modi-rahul-gandhi-share-a-warm-moment-at-the-lok-sabha-well-as-birla-is-named-speaker/articleshow/111279266.cms'
22,22,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/how-long-do-you-want-to-rule-by-talking-about-this-kharge-slams-pms-emergency-remark/articleshow/111226489.cms'
23,23,b'Economic Times',b'https://economictimes.indiatimes.com/news/economy/policy/budget-is-about-modis-kursi-bachao-plan-or-political-pragmatism-sitharaman-clarifies-the-motive-behind-funds-to-naidu-nitish/articleshow/112003637.cms'
24,24,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-amit-shah-dont-understand-complexity-of-north-east-claims-congress-gaurav-gogoi/articleshow/111945098.cms'
25,25,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/government-using-two-crutches-of-tdp-jdu-opposition/articleshow/111431266.cms'
26,26,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/assembly-bypolls-results-2024-vote-counting-underway-for-13-seats-across-7-states/articleshow/111704614.cms'
27,27,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/all-party-meet-congress-demands-discussion-on-neet-up-eateries-row-manipur/articleshow/111905397.cms'
28,28,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/pm-is-obsessed-with-gandhi-family-robert-vadra-slams-pm-modi-over-emergency-jibe/videoshow/111237762.cms'
29,29,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/law-commission-should-draft-crucial-bills-not-panel-with-part-time-members-chidambaram/articleshow/111557695.cms'
30,30,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/siddaramaiah-deletes-post-on-private-jobs-reservation-amid-severe-backlash/articleshow/111804905.cms'
31,31,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/copy-cong-manifesto-a-bit-more-pc-in-rs-bjp-mp-a-visionary-budget/articleshow/111996599.cms'
32,32,b'Economic Times',b'https://economictimes.indiatimes.com/news/new-updates/captain-anshuman-singhs-parents-allege-daughter-in-law-took-everything-demand-next-of-kin-policy-revision/articleshow/111681818.cms'
33,33,b'Economic Times',b'https://economictimes.indiatimes.com/news/sports/rahul-gandhi-congratulates-team-india-highlights-suryas-brilliant-catch-rohits-leadership-and-rahuls-guidance/articleshow/111369966.cms'
34,34,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/bombay-high-court-quashes-magistrate-order-allowing-fresh-documents-against-rahul-gandhi-in-defamation-case/articleshow/111683421.cms'
35,35,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/kangana-ranaut-asks-visitors-to-bring-aadhaar-card-to-meet-her-congress-reacts/articleshow/111683017.cms'
36,36,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-open-to-billionaire-tax-congress-seeks-indias-stand-on-issue-at-g20/articleshow/111685111.cms'
